Longitude,Latitude,Carbon(C),Water(W),Food(F),Social(P)
-175,65,0.178919,0.141657,0.154081,0.251083
-170,55,0.116680,0.129911,0.102848,0.109280
-170,60,0.125540,0.131958,0.110708,0.131525
-170,65,0.158328,0.134916,0.135733,0.212816
-165,55,0.128430,0.131052,0.112152,0.145407
-165,60,0.199833,0.131891,0.159917,0.270618
-165,65,0.260452,0.136959,0.204936,0.399694
-160,55,0.157745,0.134765,0.133916,0.203905
-160,60,0.332060,0.135859,0.239118,0.381517
-160,65,0.437782,0.142634,0.313027,0.562693
-160,70,0.274267,0.142556,0.217849,0.395233
-155,60,0.360454,0.153901,0.259792,0.298078
-155,65,0.487380,0.166672,0.347395,0.463066
-155,70,0.302004,0.152454,0.237659,0.362262
-150,60,0.298935,0.168050,0.232438,0.214320
-150,65,0.457299,0.201928,0.352686,0.388989
-150,70,0.293268,0.168427,0.238538,0.299006
-145,60,0.272254,0.169954,0.220696,0.198313
-145,65,0.441824,0.213639,0.355000,0.370812
-145,70,0.286517,0.174468,0.237983,0.275476
-140,60,0.310544,0.175213,0.247114,0.221475
-140,65,0.436985,0.202792,0.347066,0.387889
-135,60,0.406913,0.188451,0.307424,0.254920
-135,65,0.444509,0.190878,0.341483,0.373301
-130,55,0.365633,0.174988,0.268857,0.184583
-130,60,0.512925,0.233855,0.391061,0.251018
-130,65,0.445067,0.204713,0.351281,0.330062
-130,70,0.227832,0.135079,0.183740,0.245488
-125,50,0.331592,0.152985,0.240347,0.181330
-125,55,0.531339,0.183067,0.360242,0.200321
-125,60,0.593612,0.210088,0.411682,0.217625
-125,65,0.427530,0.178759,0.319333,0.268169
-125,70,0.208068,0.130078,0.171449,0.216312
-120,35,0.213252,0.156226,0.201115,0.328484
-120,40,0.281619,0.140025,0.236574,0.452045
-120,45,0.329260,0.127580,0.246636,0.385915
-120,50,0.449858,0.162366,0.319422,0.257121
-120,55,0.574427,0.172112,0.382330,0.202334
-120,60,0.554950,0.143771,0.360318,0.227249
-120,65,0.365082,0.138303,0.261447,0.236054
-120,70,0.186362,0.144042,0.166958,0.172263
-120,75,0.152815,0.173540,0.159462,0.108336
-115,30,0.189279,0.164514,0.185890,0.316871
-115,35,0.262565,0.196690,0.260994,0.461812
-115,40,0.303879,0.173906,0.276196,0.547634
-115,45,0.363371,0.136552,0.287005,0.524420
-115,50,0.444405,0.146734,0.338004,0.446089
-115,55,0.521920,0.153817,0.371657,0.304660
-115,60,0.467216,0.135199,0.318591,0.225048
-115,65,0.274974,0.135952,0.215733,0.233565
-115,70,0.175205,0.167025,0.175315,0.155016
-115,75,0.181766,0.221868,0.210178,0.106105
-110,25,0.238423,0.131148,0.184291,0.281721
-110,30,0.285906,0.154212,0.242526,0.488800
-110,35,0.311910,0.180728,0.277111,0.530302
-110,40,0.358010,0.164644,0.294995,0.561212
-110,45,0.385286,0.133339,0.305049,0.667137
-110,50,0.393557,0.121338,0.326584,0.668921
-110,55,0.457658,0.130046,0.342706,0.399354
-110,60,0.422264,0.131905,0.284683,0.205875
-110,65,0.237073,0.128252,0.182788,0.209612
